,Accession Number,Consensus 16S,Consensus 23S,Consensus 5S,Copies 16S,Copies 23S,Copies 5S,File Name,Longest 16S,Longest 23S,Longest 5S,Organism,Species
89,GCF_002844145.1,1557,2916,116,5,5,6,GCF_002844145.1_ASM284414v1_genomic.gbff.gz,1507,2910,116,Pseudomonas chlororaphis,Pseudomonas chlororaphis
90,GCF_003312485.2,1552,2931,116,7,7,8,GCF_003312485.2_ASM331248v2_genomic.gbff.gz,1552,2924,116,Escherichia albertii,Escherichia albertii
91,GCF_002760915.1,1554,3066,116,7,7,8,GCF_002760915.1_ASM276091v1_genomic.gbff.gz,1552,2923,116,Salmonella enterica subsp. enterica serovar Enteritidis,Salmonella enterica
92,GCF_003952325.1,1543,2920,116,4,4,4,GCF_003952325.1_ASM395232v1_genomic.gbff.gz,1538,2909,116,Pseudomonas aeruginosa,Pseudomonas aeruginosa
93,GCF_002556585.1,1551,2898,114,4,4,4,GCF_002556585.1_ASM255658v1_genomic.gbff.gz,1551,2898,114,Neisseria meningitidis,Neisseria meningitidis
94,GCF_002208745.2,1540,2916,116,5,5,6,GCF_002208745.2_ASM220874v2_genomic.gbff.gz,1539,2914,116,Pseudomonas protegens,Pseudomonas protegens
95,GCF_002224405.1,1556,3113,116,7,7,8,GCF_002224405.1_ASM222440v1_genomic.gbff.gz,1554,2924,116,Salmonella enterica subsp. enterica serovar Indiana,Salmonella enterica
96,GCF_003850425.1,1538,2916,116,5,5,6,GCF_003850425.1_ASM385042v1_genomic.gbff.gz,1538,2915,116,Pseudomonas chlororaphis subsp. piscium,Pseudomonas chlororaphis
97,GCF_001629755.1,1558,3114,116,7,7,8,GCF_001629755.1_ASM162975v1_genomic.gbff.gz,1554,2930,116,Salmonella enterica subsp. diarizonae,Salmonella enterica
98,GCF_003851225.1,1538,2916,116,5,5,6,GCF_003851225.1_ASM385122v1_genomic.gbff.gz,1538,2916,116,Pseudomonas chlororaphis subsp. aurantiaca,Pseudomonas chlororaphis
99,GCF_001280405.1,1557,2925,116,7,7,8,GCF_001280405.1_ASM128040v1_genomic.gbff.gz,1554,2925,116,Escherichia coli,Escherichia coli
100,GCF_000410575.1,1547,2917,116,5,6,7,GCF_000410575.1_ASM41057v1_genomic.gbff.gz,1547,2914,116,Pseudomonas putida H8234,Pseudomonas putida
101,GCF_000022665.1,1556,2940,116,7,7,8,GCF_000022665.1_ASM2266v1_genomic.gbff.gz,1556,2925,116,Escherichia coli BL21(DE3),Escherichia coli
102,GCF_003957395.1,1510,2889,118,2,2,2,GCF_003957395.1_ASM395739v1_genomic.gbff.gz,1510,2889,118,Helicobacter pylori,Helicobacter pylori
103,GCF_003355295.1,1548,2898,114,4,4,4,GCF_003355295.1_ASM335529v1_genomic.gbff.gz,1548,2898,114,Neisseria meningitidis,Neisseria meningitidis
104,GCF_900618325.1,1537,2912,116,4,4,4,GCF_900618325.1_paerg011_genomic.gbff.gz,1537,2912,116,Pseudomonas aeruginosa,Pseudomonas aeruginosa
105,GCF_000009505.1,1556,3066,116,7,7,8,GCF_000009505.1_ASM950v1_genomic.gbff.gz,1554,2925,116,Salmonella enterica subsp. enterica serovar Enteritidis str. P125109,Salmonella enterica
106,GCF_001447095.1,1557,2905,116,6,6,6,GCF_001447095.1_ASM144709v1_genomic.gbff.gz,1556,2905,116,Salmonella enterica subsp. enterica serovar Anatum,Salmonella enterica
107,GCF_001449085.1,1546,2916,116,5,5,6,GCF_001449085.1_ASM144908v1_genomic.gbff.gz,1546,2916,116,Pseudomonas brassicacearum,Pseudomonas brassicacearum
108,GCF_002952575.1,1509,2889,118,2,2,2,GCF_002952575.1_ASM295257v1_genomic.gbff.gz,1509,2889,118,Helicobacter pylori,Helicobacter pylori
109,GCF_900637245.1,1548,2898,114,4,4,5,GCF_900637245.1_50305_B01_genomic.gbff.gz,1548,2898,114,Neisseria gonorrhoeae,Neisseria gonorrhoeae
110,GCF_002208255.1,1556,2929,116,7,7,8,GCF_002208255.1_ASM220825v1_genomic.gbff.gz,1554,2924,116,Salmonella enterica subsp. enterica serovar Onderstepoort str. SA20060086,Salmonella enterica
111,GCF_900636735.1,1537,2912,116,4,4,4,GCF_900636735.1_43941_C01_genomic.gbff.gz,1537,2912,116,Pseudomonas aeruginosa,Pseudomonas aeruginosa
112,GCF_001697885.1,1551,2898,114,4,4,4,GCF_001697885.1_ASM169788v1_genomic.gbff.gz,1551,2898,114,Neisseria meningitidis,Neisseria meningitidis
113,GCF_000025165.1,1556,2931,116,7,7,8,GCF_000025165.1_ASM2516v1_genomic.gbff.gz,1554,2930,116,Escherichia coli O55:H7 str. CB9615,Escherichia coli
114,GCF_900636065.1,1554,2926,116,7,7,8,GCF_900636065.1_38670_D01_genomic.gbff.gz,1552,2925,116,Escherichia coli,Escherichia coli
115,GCF_003367885.1,1554,2933,116,7,7,8,GCF_003367885.1_ASM336788v1_genomic.gbff.gz,1554,2925,116,Escherichia coli,Escherichia coli
116,GCF_000279165.1,1546,2915,116,4,4,4,GCF_000279165.1_ASM27916v1_genomic.gbff.gz,1535,2915,116,Pseudomonas stutzeri DSM 10701,Pseudomonas stutzeri
117,GCF_002249955.1,1556,2938,116,7,7,8,GCF_002249955.1_ASM224995v1_genomic.gbff.gz,1554,2930,116,Escherichia coli,Escherichia coli
118,GCF_002966555.1,1540,2917,116,5,5,6,GCF_002966555.1_ASM296655v1_genomic.gbff.gz,1540,2917,116,Pseudomonas syringae pv. tomato,Pseudomonas syringae
119,GCF_000183645.1,1547,2917,116,7,7,8,GCF_000183645.1_ASM18364v1_genomic.gbff.gz,1547,2914,116,Pseudomonas putida BIRD-1,Pseudomonas putida
120,GCF_002761155.1,1554,3066,116,7,7,8,GCF_002761155.1_ASM276115v1_genomic.gbff.gz,1552,2925,116,Salmonella enterica subsp. enterica serovar Enteritidis,Salmonella enterica
121,GCF_003851585.1,1538,2916,116,6,6,7,GCF_003851585.1_ASM385158v1_genomic.gbff.gz,1538,2916,116,Pseudomonas orientalis,Pseudomonas orientalis
122,GCF_000008805.1,1544,2891,117,4,4,4,GCF_000008805.1_ASM880v1_genomic.gbff.gz,1544,2891,117,Neisseria meningitidis MC58,Neisseria meningitidis
123,GCF_000800355.1,1551,2898,114,5,5,4,GCF_000800355.1_ASM80035v1_genomic.gbff.gz,1409,2498,114,Neisseria meningitidis,Neisseria meningitidis
124,GCF_000963835.1,1547,2913,116,5,5,6,GCF_000963835.1_ASM96383v1_genomic.gbff.gz,1547,2913,116,Pseudomonas chlororaphis,Pseudomonas chlororaphis
125,GCF_002951575.1,1548,2898,114,4,4,4,GCF_002951575.1_ASM295157v1_genomic.gbff.gz,1548,2898,114,Neisseria meningitidis,Neisseria meningitidis
126,GCF_900120205.1,1509,2890,118,2,2,2,GCF_900120205.1_HE141_09_genomic.gbff.gz,1509,2890,118,Helicobacter pylori,Helicobacter pylori
127,GCF_003852005.1,1538,2916,116,5,5,6,GCF_003852005.1_ASM385200v1_genomic.gbff.gz,1538,2916,116,Pseudomonas chlororaphis subsp. aureofaciens,Pseudomonas chlororaphis
128,GCF_001047275.1,1551,2898,114,4,4,4,GCF_001047275.1_ASM104727v1_genomic.gbff.gz,1551,2898,114,Neisseria gonorrhoeae,Neisseria gonorrhoeae
129,GCF_001698085.1,1551,2898,114,4,4,4,GCF_001698085.1_ASM169808v1_genomic.gbff.gz,1551,2898,114,Neisseria meningitidis,Neisseria meningitidis
130,GCF_001361075.2,1556,3027,116,7,7,7,GCF_001361075.2_Ty585_genomic.gbff.gz,1556,3027,116,Salmonella enterica subsp. enterica serovar Typhi,Salmonella enterica
131,GCF_001747385.1,1547,2916,116,6,6,7,GCF_001747385.1_ASM174738v1_genomic.gbff.gz,1547,2915,116,Pseudomonas fluorescens,Pseudomonas fluorescens
132,GCF_002812925.1,1537,2912,116,4,4,4,GCF_002812925.1_ASM281292v1_genomic.gbff.gz,1537,2911,116,Pseudomonas aeruginosa,Pseudomonas aeruginosa
133,GCF_001577505.1,1556,3113,116,7,7,8,GCF_001577505.1_ASM157750v1_genomic.gbff.gz,1553,3010,116,Salmonella enterica subsp. enterica serovar Typhimurium,Salmonella enterica
134,GCF_001623775.1,1556,3113,116,7,7,8,GCF_001623775.1_ASM162377v1_genomic.gbff.gz,1554,2927,116,Salmonella enterica subsp. enterica serovar Typhimurium str. CDC 2009K-2059,Salmonella enterica
135,GCF_002872455.1,1552,2932,116,7,7,8,GCF_002872455.1_ASM287245v1_genomic.gbff.gz,1552,2926,116,Escherichia albertii,Escherichia albertii
136,GCF_002952875.1,1554,2933,116,7,7,9,GCF_002952875.1_ASM295287v1_genomic.gbff.gz,1554,2925,116,Escherichia coli,Escherichia coli
137,GCF_000829255.1,1544,2912,116,4,4,4,GCF_000829255.1_ASM82925v1_genomic.gbff.gz,1544,2912,116,Pseudomonas aeruginosa,Pseudomonas aeruginosa
138,GCF_000524595.1,1544,2912,116,4,4,4,GCF_000524595.1_ASM52459v1_genomic.gbff.gz,1544,2912,116,Pseudomonas aeruginosa YL84,Pseudomonas aeruginosa
139,GCF_001618325.1,1556,2925,116,7,7,8,GCF_001618325.1_ASM161832v1_genomic.gbff.gz,1556,2925,116,Escherichia coli,Escherichia coli
140,GCF_001447115.1,1558,2832,116,8,8,5,GCF_001447115.1_ASM144711v1_genomic.gbff.gz,1550,2142,116,Salmonella enterica subsp. enterica serovar Anatum,Salmonella enterica
141,GCF_003850585.1,1538,2916,116,5,5,6,GCF_003850585.1_ASM385058v1_genomic.gbff.gz,1538,2916,116,Pseudomonas chlororaphis subsp. piscium,Pseudomonas chlororaphis
142,GCF_002812865.1,1537,2912,116,4,4,4,GCF_002812865.1_ASM281286v1_genomic.gbff.gz,1537,2912,116,Pseudomonas aeruginosa,Pseudomonas aeruginosa
143,GCF_002012265.1,1554,2925,116,7,7,8,GCF_002012265.1_ASM201226v1_genomic.gbff.gz,1554,2925,116,Escherichia coli,Escherichia coli
144,GCF_003213725.2,1502,2888,116,2,2,2,GCF_003213725.2_ASM321372v2_genomic.gbff.gz,1502,2888,116,Helicobacter cinaedi,Helicobacter cinaedi
145,GCF_000709535.1,1554,3026,116,7,7,8,GCF_000709535.1_ASM70953v1_genomic.gbff.gz,1554,2926,116,Salmonella bongori serovar 48:z41:-- str. RKS3044,Salmonella bongori
146,GCF_003798125.1,1537,2912,116,4,4,4,GCF_003798125.1_ASM379812v1_genomic.gbff.gz,1537,2912,116,Pseudomonas aeruginosa,Pseudomonas aeruginosa
147,GCF_001515585.1,1547,2917,116,7,7,8,GCF_001515585.1_ASM151558v2_genomic.gbff.gz,1547,2914,116,Pseudomonas putida,Pseudomonas putida
148,GCF_003429445.1,1554,2931,116,7,7,8,GCF_003429445.1_ASM342944v1_genomic.gbff.gz,1551,2929,116,Salmonella enterica subsp. enterica,Salmonella enterica
149,GCF_001975515.1,1556,3028,116,7,7,8,GCF_001975515.1_ASM197551v1_genomic.gbff.gz,1552,2928,116,Salmonella enterica subsp. enterica serovar Manchester str. ST278,Salmonella enterica
150,GCF_000191525.1,1551,2898,114,4,4,4,GCF_000191525.1_ASM19152v1_genomic.gbff.gz,1551,2898,114,Neisseria meningitidis NZ-05/33,Neisseria meningitidis
151,GCF_000021165.1,1510,2888,118,2,2,2,GCF_000021165.1_ASM2116v1_genomic.gbff.gz,1510,2888,118,Helicobacter pylori G27,Helicobacter pylori
152,GCF_000006765.1,1537,2892,960,4,4,5,GCF_000006765.1_ASM676v1_genomic.gbff.gz,1536,2889,120,Pseudomonas aeruginosa PAO1,Pseudomonas aeruginosa
153,GCF_003851445.1,1538,2916,116,5,5,6,GCF_003851445.1_ASM385144v1_genomic.gbff.gz,1538,2916,116,Pseudomonas chlororaphis subsp. aureofaciens,Pseudomonas chlororaphis
154,GCF_000196755.1,1510,2889,118,2,2,2,GCF_000196755.1_ASM19675v1_genomic.gbff.gz,1510,2889,118,Helicobacter pylori B8,Helicobacter pylori
