Considering the following 181 assemblies for download:
GCF_000354175.2	Vibrio alginolyticus NBRC 15630 = ATCC 17749
GCF_000024825.1	Vibrio antiquarius
GCF_004022545.1	Vibrio chagasii
GCF_000763535.1	Vibrio coralliilyticus
GCF_000772065.1	Vibrio coralliilyticus
GCF_001693615.1	Vibrio coralliilyticus
GCF_002073995.1	Vibrio coralliilyticus
GCF_003391375.1	Vibrio coralliilyticus
GCF_002214395.1	Vibrio rotiferianus
GCF_000091465.1	Vibrio tasmaniensis LGP32
GCF_001677275.1	Vibrio breoganii
GCF_002218025.2	Vibrio casei
GCF_002021755.1	Vibrio owensii
GCF_002887655.1	Vibrio owensii
GCF_003691505.1	Vibrio owensii
GCF_003691545.1	Vibrio owensii
GCF_002887615.1	Vibrio jasicida 090810c
GCF_003544875.1	Vibrio alfacsensis
GCF_000241385.1	Vibrio sp. EJY3
GCF_001547935.1	Vibrio tritonius
GCF_002906655.1	Vibrio hyugaensis
GCF_002157735.2	Vibrio aphrogenes
GCF_002216685.1	Vibrio sp. 2521-89
GCF_002257545.1	Vibrio qinghaiensis
GCF_003443775.1	Vibrio sp. dhg
GCF_003716875.1	Vibrio sp. HBUAS61001
