,Organism (NCBI),Accession Number,File Name,Species (GTDB),Longest 16S,Consensus 16S,Copies 16S,Longest 23S,Consensus 23S,Copies 23S,Longest 5S,Consensus 5S,Copies 5S
79,Enterococcus faecium,GCF_001953235.1,GCF_001953235.1_ASM195323v1_genomic.gbff.gz,Enterococcus_B faecium,1569,1570,6,2917,2917,6,116,116,6
388,Enterococcus faecium,GCF_001953255.1,GCF_001953255.1_ASM195325v1_genomic.gbff.gz,Enterococcus_B faecium,1569,1570,6,2917,2917,6,116,116,6
97,Enterococcus faecium,GCF_002007625.1,GCF_002007625.1_ASM200762v1_genomic.gbff.gz,Enterococcus_B faecium,1568,1570,6,2917,2917,6,116,116,6
418,Enterococcus faecium,GCF_002334625.1,GCF_002334625.1_ASM233462v1_genomic.gbff.gz,Enterococcus_B faecium,1569,1571,6,2916,2917,6,116,116,6
482,Enterococcus faecium,GCF_002761255.1,GCF_002761255.1_ASM276125v1_genomic.gbff.gz,Enterococcus_B faecium,1568,1569,6,2917,2917,6,116,116,6
319,Enterococcus faecium,GCF_002761275.1,GCF_002761275.1_ASM276127v1_genomic.gbff.gz,Enterococcus_B faecium,1568,1569,6,2917,2917,6,116,116,6
680,Enterococcus faecium,GCF_002761555.1,GCF_002761555.1_ASM276155v1_genomic.gbff.gz,Enterococcus_B faecium,1557,1570,7,2917,2917,6,116,116,6
416,Enterococcus faecium,GCF_002777275.1,GCF_002777275.1_ASM277727v1_genomic.gbff.gz,Enterococcus_B faecium,1568,1569,6,2917,2917,6,116,116,6
40,Enterococcus faecium,GCF_002848385.1,GCF_002848385.1_ASM284838v1_genomic.gbff.gz,Enterococcus_B faecium,1568,1569,6,2917,2917,6,116,116,6
537,Enterococcus faecium,GCF_002848625.1,GCF_002848625.1_ASM284862v1_genomic.gbff.gz,Enterococcus_B faecium,1568,1569,6,2917,2917,6,116,116,6
37,Enterococcus faecium,GCF_002848665.1,GCF_002848665.1_ASM284866v1_genomic.gbff.gz,Enterococcus_B faecium,1568,1569,6,2397,2917,6,116,116,6
291,Enterococcus faecium,GCF_002848745.1,GCF_002848745.1_ASM284874v1_genomic.gbff.gz,Enterococcus_B faecium,1568,1569,6,2397,2917,6,116,116,6
132,Enterococcus faecium,GCF_002850515.1,GCF_002850515.1_ASM285051v1_genomic.gbff.gz,Enterococcus_B faecium,1567,1568,6,2916,2917,6,116,116,6
639,Enterococcus faecium,GCF_002880635.1,GCF_002880635.1_ASM288063v1_genomic.gbff.gz,Enterococcus_B faecium,1568,1569,6,2917,2921,6,116,116,6
178,Enterococcus faecium,GCF_002983785.1,GCF_002983785.1_ASM298378v1_genomic.gbff.gz,Enterococcus_B faecium,1568,1569,6,2917,2917,6,116,116,6
358,Enterococcus faecium,GCF_003020685.1,GCF_003020685.1_ASM302068v1_genomic.gbff.gz,Enterococcus_B faecium,1568,1569,6,2917,2917,6,116,116,6
532,Enterococcus faecium,GCF_003020705.1,GCF_003020705.1_ASM302070v1_genomic.gbff.gz,Enterococcus_B faecium,1567,1570,6,2916,2917,6,116,116,6
409,Enterococcus faecium,GCF_003020765.1,GCF_003020765.1_ASM302076v1_genomic.gbff.gz,Enterococcus_B faecium,1568,1569,6,2917,2917,6,116,116,6
510,Enterococcus faecium,GCF_003071425.1,GCF_003071425.1_ASM307142v1_genomic.gbff.gz,Enterococcus_B faecium,1568,1570,6,2917,2917,6,116,116,6
36,Enterococcus faecium,GCF_003071445.1,GCF_003071445.1_ASM307144v1_genomic.gbff.gz,Enterococcus_B faecium,1568,1570,6,2917,2917,6,116,116,6
494,Enterococcus faecium,GCF_900066025.1,GCF_900066025.1_Enterococcus_faecium_E1002_isolate_genomic.gbff.gz,Enterococcus_B faecium,1569,1570,6,2917,2917,6,116,116,6
669,Enterococcus faecium,GCF_900092475.1,GCF_900092475.1_Ef_aus00233_genomic.gbff.gz,Enterococcus_B faecium,1569,1570,6,2917,2917,6,116,116,6
20,Enterococcus faecium NRRL B-2354,GCF_000336405.1,GCF_000336405.1_ASM33640v1_genomic.gbff.gz,Enterococcus_B faecium,1569,1570,6,2917,2917,6,116,116,6
275,Escherichia albertii,GCF_001549955.1,GCF_001549955.1_ASM154995v1_genomic.gbff.gz,Escherichia albertii,1552,1552,7,2835,2933,7,116,116,8
472,Escherichia albertii,GCF_002285455.1,GCF_002285455.1_ASM228545v1_genomic.gbff.gz,Escherichia albertii,1554,1556,7,2923,2932,7,116,116,8
277,Escherichia albertii,GCF_002285475.1,GCF_002285475.1_ASM228547v1_genomic.gbff.gz,Escherichia albertii,1554,1554,7,2926,2934,7,116,116,8
77,Escherichia albertii,GCF_002741375.1,GCF_002741375.1_ASM274137v1_genomic.gbff.gz,Escherichia albertii,1554,1556,7,2924,2933,7,116,116,8
254,Escherichia albertii,GCF_002872455.1,GCF_002872455.1_ASM287245v1_genomic.gbff.gz,Escherichia albertii,1552,1552,7,2926,2932,7,116,116,8
19,Escherichia albertii,GCF_002895205.1,GCF_002895205.1_ASM289520v1_genomic.gbff.gz,Escherichia albertii,1552,1552,7,2929,2930,7,116,116,8
165,Escherichia albertii KF1,GCF_000512125.1,GCF_000512125.1_ASM51212v1_genomic.gbff.gz,Escherichia albertii,1553,1561,7,2929,2941,7,116,116,8
425,Escherichia coli 042,GCF_000027125.1,GCF_000027125.1_ASM2712v1_genomic.gbff.gz,Escherichia coli_D,1554,1556,7,2924,2932,7,116,116,8
670,Escherichia coli APEC IMT5155,GCF_000813165.1,GCF_000813165.1_ASM81316v1_genomic.gbff.gz,Escherichia coli,1556,1557,6,2925,2932,6,116,116,7
232,Escherichia coli DH1,GCF_000023365.1,GCF_000023365.1_ASM2336v1_genomic.gbff.gz,Escherichia flexneri,1556,1556,7,2925,2933,7,116,116,8
200,Escherichia coli,GCF_000599625.1,GCF_000599625.1_ASM59962v1_genomic.gbff.gz,Escherichia flexneri,1554,2741,9,2262,2943,11,114,116,11
21,Escherichia coli,GCF_000599645.1,GCF_000599645.1_ASM59964v1_genomic.gbff.gz,Escherichia flexneri,1554,1567,10,2070,5180,11,115,116,10
286,Escherichia coli,GCF_000784925.1,GCF_000784925.1_ASM78492v1_genomic.gbff.gz,Escherichia coli_D,1554,1554,7,2925,2932,7,116,116,8
439,Escherichia coli,GCF_001021595.1,GCF_001021595.1_ASM102159v1_genomic.gbff.gz,Escherichia coli,1556,1556,7,2925,2926,7,116,116,8
571,Escherichia coli,GCF_001485455.1,GCF_001485455.1_ASM148545v1_genomic.gbff.gz,Escherichia coli_D,1556,1556,7,2925,2931,7,116,116,7
391,Escherichia coli,GCF_001566675.1,GCF_001566675.1_ASM156667v1_genomic.gbff.gz,Escherichia coli,1554,1554,7,2925,2925,7,116,116,8
228,Escherichia coli,GCF_001577325.1,GCF_001577325.1_ASM157732v1_genomic.gbff.gz,Escherichia coli,1555,1556,7,2924,2925,7,116,116,8
215,Escherichia coli,GCF_001612495.1,GCF_001612495.1_ASM161249v1_genomic.gbff.gz,Escherichia dysenteriae,1554,1556,7,2930,2938,7,116,116,8
278,Escherichia coli,GCF_001617565.1,GCF_001617565.1_ASM161756v1_genomic.gbff.gz,Escherichia coli,1554,1554,7,2925,2925,7,116,116,8
180,Escherichia coli,GCF_001618365.1,GCF_001618365.1_ASM161836v1_genomic.gbff.gz,Escherichia coli,1554,1554,7,2924,2925,7,116,116,8
421,Escherichia coli,GCF_001660585.1,GCF_001660585.1_ASM166058v1_genomic.gbff.gz,Escherichia coli,1555,1567,7,2925,2925,7,116,116,8
191,Escherichia coli,GCF_001663475.1,GCF_001663475.1_ASM166347v1_genomic.gbff.gz,Escherichia coli,1554,1554,7,2925,2925,7,116,116,8
313,Escherichia coli,GCF_001675145.1,GCF_001675145.1_ASM167514v1_genomic.gbff.gz,Escherichia coli,1556,1556,7,2925,2925,7,116,116,8
540,Escherichia coli,GCF_001677475.1,GCF_001677475.1_ASM167747v1_genomic.gbff.gz,Escherichia coli_D,1554,1556,7,2924,2930,7,116,116,8
298,Escherichia coli,GCF_001678965.1,GCF_001678965.1_ASM167896v1_genomic.gbff.gz,Escherichia flexneri,1556,1556,7,2930,2936,7,116,116,8
344,Escherichia coli,GCF_001721225.1,GCF_001721225.1_ASM172122v1_genomic.gbff.gz,Escherichia flexneri,1556,1556,7,2930,2930,7,116,116,8
684,Escherichia coli,GCF_001721525.1,GCF_001721525.1_ASM172152v1_genomic.gbff.gz,Escherichia coli_D,1556,1556,7,2925,2932,7,116,116,8
233,Escherichia coli,GCF_001806285.1,GCF_001806285.1_ASM180628v1_genomic.gbff.gz,Escherichia dysenteriae,1551,1554,7,2926,2938,7,116,116,8
26,Escherichia coli,GCF_001860505.1,GCF_001860505.1_ASM186050v1_genomic.gbff.gz,Escherichia flexneri,1556,1556,7,2929,2933,7,116,116,8
207,Escherichia coli,GCF_001865295.1,GCF_001865295.1_ASM186529v1_genomic.gbff.gz,Escherichia dysenteriae,1554,1556,7,2930,2938,7,116,116,8
216,Escherichia coli,GCF_001890225.1,GCF_001890225.1_ASM189022v1_genomic.gbff.gz,Escherichia dysenteriae,1554,1556,7,2930,2938,7,116,116,8
559,Escherichia coli,GCF_001890245.1,GCF_001890245.1_ASM189024v1_genomic.gbff.gz,Escherichia dysenteriae,1554,1556,7,2930,2938,7,116,116,8
100,Escherichia coli,GCF_001890325.1,GCF_001890325.1_ASM189032v1_genomic.gbff.gz,Escherichia dysenteriae,1552,1554,7,2930,2938,7,116,116,8
463,Escherichia coli,GCF_001890365.1,GCF_001890365.1_ASM189036v1_genomic.gbff.gz,Escherichia coli_D,1552,1554,7,2928,2932,7,116,116,8
588,Escherichia coli,GCF_001900295.1,GCF_001900295.1_ASM190029v1_genomic.gbff.gz,Escherichia coli_D,1556,1556,7,2931,2934,7,116,116,7
334,Escherichia coli,GCF_001900315.1,GCF_001900315.1_ASM190031v1_genomic.gbff.gz,Escherichia coli_D,1556,1556,7,2925,2926,7,116,116,8
623,Escherichia coli,GCF_001900335.1,GCF_001900335.1_ASM190033v1_genomic.gbff.gz,Escherichia flexneri,1556,1557,7,2924,2924,7,116,116,8
542,Escherichia coli,GCF_001900535.1,GCF_001900535.1_ASM190053v1_genomic.gbff.gz,Escherichia flexneri,1557,1557,7,2928,2932,7,116,116,8
270,Escherichia coli,GCF_001900735.1,GCF_001900735.1_ASM190073v1_genomic.gbff.gz,Escherichia coli,1556,1556,7,2933,2933,7,116,116,8
175,Escherichia coli,GCF_001900885.1,GCF_001900885.1_ASM190088v1_genomic.gbff.gz,Escherichia flexneri,1556,1557,7,2931,2935,7,116,116,8
645,Escherichia coli,GCF_001900945.1,GCF_001900945.1_ASM190094v1_genomic.gbff.gz,Escherichia flexneri,1556,1556,8,2930,2930,8,116,116,10
592,Escherichia coli,GCF_001900985.1,GCF_001900985.1_ASM190098v1_genomic.gbff.gz,Escherichia flexneri,1556,1556,7,2925,2927,7,116,116,8
169,Escherichia coli,GCF_001901465.1,GCF_001901465.1_ASM190146v1_genomic.gbff.gz,Escherichia flexneri,1556,1556,7,2925,2926,7,116,116,8
196,Escherichia coli,GCF_001969285.2,GCF_001969285.2_ASM196928v3_genomic.gbff.gz,Escherichia flexneri,1554,1554,7,2930,2931,7,116,116,8
199,Escherichia coli,GCF_002009315.1,GCF_002009315.1_ASM200931v1_genomic.gbff.gz,Escherichia coli_D,1554,1554,7,2925,2933,7,116,116,8
151,Escherichia coli,GCF_002011965.1,GCF_002011965.1_ASM201196v1_genomic.gbff.gz,Escherichia coli,1556,1556,7,2925,2925,7,116,116,8
281,Escherichia coli,GCF_002011985.1,GCF_002011985.1_ASM201198v1_genomic.gbff.gz,Escherichia coli_D,1552,1554,7,2924,2926,7,116,116,8
630,Escherichia coli,GCF_002012045.1,GCF_002012045.1_ASM201204v1_genomic.gbff.gz,Escherichia coli_D,1554,1556,7,2929,2932,7,116,116,8
405,Escherichia coli,GCF_002012065.1,GCF_002012065.1_ASM201206v1_genomic.gbff.gz,Escherichia coli,1556,1556,7,2925,2925,7,116,116,8
163,Escherichia coli,GCF_002012145.1,GCF_002012145.1_ASM201214v1_genomic.gbff.gz,Escherichia coli,1556,1556,7,2925,2925,7,116,116,8
688,Escherichia coli,GCF_002012205.1,GCF_002012205.1_ASM201220v1_genomic.gbff.gz,Escherichia coli,1554,1554,7,2925,2925,7,116,116,8
57,Escherichia coli,GCF_002012225.1,GCF_002012225.1_ASM201222v1_genomic.gbff.gz,Escherichia coli_D,1556,1556,7,2925,2932,7,116,116,8
390,Escherichia coli,GCF_002056635.1,GCF_002056635.1_ASM205663v1_genomic.gbff.gz,Escherichia coli,1554,1554,7,2925,2925,7,116,116,8
181,Escherichia coli,GCF_002058765.1,GCF_002058765.1_ASM205876v1_genomic.gbff.gz,Escherichia dysenteriae,1554,1556,7,2924,2930,7,116,116,8
96,Escherichia coli,GCF_002157245.1,GCF_002157245.1_ASM215724v1_genomic.gbff.gz,Escherichia coli,1554,1554,7,2925,2925,7,116,116,8
314,Escherichia coli,GCF_002163935.1,GCF_002163935.1_ASM216393v1_genomic.gbff.gz,Escherichia flexneri,1552,1554,7,2927,2936,7,116,116,8
104,Escherichia coli,GCF_002164645.2,GCF_002164645.2_ASM216464v2_genomic.gbff.gz,Escherichia coli_D,1552,1554,7,2926,2932,7,116,116,8
274,Escherichia coli,GCF_002180095.1,GCF_002180095.1_ASM218009v1_genomic.gbff.gz,Escherichia flexneri,1556,1556,7,2925,2936,7,116,116,8
309,Escherichia coli,GCF_002180195.1,GCF_002180195.1_ASM218019v1_genomic.gbff.gz,Escherichia coli,1556,1556,7,2925,2925,7,116,116,8
142,Escherichia coli,GCF_002193095.1,GCF_002193095.1_ASM219309v1_genomic.gbff.gz,Escherichia coli,1556,1556,7,2925,2925,7,116,116,8
64,Escherichia coli,GCF_002196475.1,GCF_002196475.1_ASM219647v1_genomic.gbff.gz,Escherichia dysenteriae,1556,1556,7,2924,2931,7,116,116,8
456,Escherichia coli,GCF_002211725.1,GCF_002211725.1_ASM221172v1_genomic.gbff.gz,Escherichia flexneri,1556,1556,7,2925,2933,7,116,116,8
690,Escherichia coli,GCF_002237305.1,GCF_002237305.1_ASM223730v1_genomic.gbff.gz,Escherichia coli,1556,1558,6,2913,2936,6,116,116,7
8,Escherichia coli,GCF_002310595.1,GCF_002310595.1_ASM231059v1_genomic.gbff.gz,Escherichia coli_D,1554,1556,7,2924,2932,7,116,116,8
269,Escherichia coli,GCF_002310615.1,GCF_002310615.1_ASM231061v1_genomic.gbff.gz,Escherichia coli_D,1554,1556,7,2925,2927,7,116,116,8
226,Escherichia coli,GCF_002310695.1,GCF_002310695.1_ASM231069v1_genomic.gbff.gz,Escherichia coli_D,1554,1556,7,2925,2932,7,116,116,8
27,Escherichia coli,GCF_002357875.1,GCF_002357875.1_ASM235787v1_genomic.gbff.gz,Escherichia coli_D,1556,1556,7,2925,2934,7,116,116,8
184,Escherichia coli,GCF_002587005.1,GCF_002587005.1_ASM258700v1_genomic.gbff.gz,Escherichia coli_D,1556,1556,7,2925,2931,7,116,116,8
128,Escherichia coli,GCF_002589795.1,GCF_002589795.1_ASM258979v1_genomic.gbff.gz,Escherichia flexneri,1555,1556,7,2925,2931,7,116,116,8
119,Escherichia coli,GCF_002741555.1,GCF_002741555.1_ASM274155v1_genomic.gbff.gz,Escherichia dysenteriae,1556,1556,7,2924,2939,7,116,116,8
247,Escherichia coli,GCF_002761835.1,GCF_002761835.1_ASM276183v1_genomic.gbff.gz,Escherichia flexneri,1552,1554,7,2925,2931,7,116,116,8
492,Escherichia coli,GCF_002787215.1,GCF_002787215.1_ASM278721v1_genomic.gbff.gz,Escherichia coli_D,1552,1554,7,2925,2926,7,116,116,8
240,Escherichia coli,GCF_002787645.1,GCF_002787645.1_ASM278764v1_genomic.gbff.gz,Escherichia coli_D,1554,1554,7,2926,2934,7,116,116,8
65,Escherichia coli,GCF_002788115.1,GCF_002788115.1_ASM278811v1_genomic.gbff.gz,Escherichia coli_D,1552,1554,7,2925,2932,7,116,116,8
46,Escherichia coli,GCF_002796585.1,GCF_002796585.1_ASM279658v1_genomic.gbff.gz,Escherichia coli,1554,1554,7,2925,2925,7,116,116,8
423,Escherichia coli,GCF_002853715.1,GCF_002853715.1_ASM285371v1_genomic.gbff.gz,Escherichia coli,1552,1554,7,2923,2933,7,116,116,8
465,Escherichia coli,GCF_002870165.1,GCF_002870165.1_ASM287016v1_genomic.gbff.gz,Escherichia flexneri,1554,1554,7,2931,2932,7,116,116,8
107,Escherichia coli,GCF_002887715.1,GCF_002887715.1_ASM288771v1_genomic.gbff.gz,Escherichia coli,1321,1554,7,2911,2926,7,116,116,8
374,Escherichia coli,GCF_002899495.1,GCF_002899495.1_ASM289949v1_genomic.gbff.gz,Escherichia flexneri,1554,1554,7,2925,2933,7,116,116,8
560,Escherichia coli,GCF_002903125.1,GCF_002903125.1_ASM290312v1_genomic.gbff.gz,Escherichia flexneri,1554,1554,7,2930,2933,7,116,116,8
155,Escherichia coli,GCF_002944935.1,GCF_002944935.1_ASM294493v1_genomic.gbff.gz,Escherichia coli,1554,1554,7,2925,2926,7,116,116,8
217,Escherichia coli,GCF_002946715.1,GCF_002946715.1_ASM294671v1_genomic.gbff.gz,Escherichia coli_D,1552,1554,7,2926,2931,7,116,116,8
353,Escherichia coli,GCF_002952855.1,GCF_002952855.1_ASM295285v1_genomic.gbff.gz,Escherichia flexneri,1554,1554,7,2925,2933,7,116,116,9
218,Escherichia coli,GCF_002953055.1,GCF_002953055.1_ASM295305v1_genomic.gbff.gz,Escherichia flexneri,1554,1554,7,2925,2933,7,116,116,9
566,Escherichia coli,GCF_002966755.1,GCF_002966755.1_ASM296675v1_genomic.gbff.gz,Escherichia coli_D,1380,1554,7,2727,2932,7,116,116,8
346,Escherichia coli,GCF_002996945.1,GCF_002996945.1_ASM299694v1_genomic.gbff.gz,Escherichia coli,1553,1554,7,2925,2925,7,116,116,8
562,Escherichia coli,GCF_003017455.1,GCF_003017455.1_ASM301745v1_genomic.gbff.gz,Escherichia flexneri,1554,1554,7,2930,2936,7,116,116,8
0,Escherichia coli,GCF_003017975.1,GCF_003017975.1_ASM301797v1_genomic.gbff.gz,Escherichia flexneri,1554,1554,7,2930,2936,7,116,116,8
369,Escherichia coli,GCF_003018215.1,GCF_003018215.1_ASM301821v1_genomic.gbff.gz,Escherichia flexneri,1554,1554,7,2924,2931,7,116,116,8
379,Escherichia coli,GCF_003018255.1,GCF_003018255.1_ASM301825v1_genomic.gbff.gz,Escherichia coli,1554,1554,7,2925,2927,7,116,116,8
34,Escherichia coli,GCF_003018275.1,GCF_003018275.1_ASM301827v1_genomic.gbff.gz,Escherichia flexneri,1554,1554,7,2924,2931,7,116,116,8
514,Escherichia coli,GCF_003018995.1,GCF_003018995.1_ASM301899v1_genomic.gbff.gz,Escherichia dysenteriae,1553,1554,7,2930,2932,7,116,116,8
615,Escherichia coli,GCF_003019035.1,GCF_003019035.1_ASM301903v1_genomic.gbff.gz,Escherichia coli_D,1552,1554,7,2925,2933,7,116,116,8
268,Escherichia coli,GCF_003019095.1,GCF_003019095.1_ASM301909v1_genomic.gbff.gz,Escherichia coli,1554,1554,7,2925,2925,7,116,116,8
574,Escherichia coli,GCF_003019215.1,GCF_003019215.1_ASM301921v1_genomic.gbff.gz,Escherichia flexneri,1554,1554,7,2925,2931,7,116,116,8
260,Escherichia coli,GCF_003020885.1,GCF_003020885.1_ASM302088v1_genomic.gbff.gz,Escherichia coli,1552,1555,7,2925,2925,7,116,116,8
220,Escherichia coli,GCF_003030245.1,GCF_003030245.1_ASM303024v1_genomic.gbff.gz,Escherichia coli_D,1554,1554,7,2925,2925,7,116,116,8
631,Escherichia coli,GCF_003073815.1,GCF_003073815.1_ASM307381v1_genomic.gbff.gz,Escherichia flexneri,1554,1554,7,2929,2931,7,116,116,8
336,Escherichia coli,GCF_003095635.1,GCF_003095635.1_ASM309563v1_genomic.gbff.gz,Escherichia coli_D,1554,1554,7,2925,2933,7,116,116,8
504,Escherichia coli,GCF_003180995.1,GCF_003180995.1_ASM318099v1_genomic.gbff.gz,Escherichia coli_D,1552,1554,7,2925,2932,7,116,116,8
45,Escherichia coli,GCF_003181035.1,GCF_003181035.1_ASM318103v1_genomic.gbff.gz,Escherichia coli,1554,1554,7,2925,2925,7,116,116,8
536,Escherichia coli,GCF_003194345.1,GCF_003194345.1_ASM319434v1_genomic.gbff.gz,Escherichia coli,1553,1554,7,2922,2925,7,116,116,8
408,Escherichia coli IAI39,GCF_000026345.1,GCF_000026345.1_ASM2634v1_genomic.gbff.gz,Escherichia coli_D,1542,1542,7,2904,2904,7,113,120,8
634,Escherichia coli K-12,GCF_001559675.1,GCF_001559675.1_ASM155967v1_genomic.gbff.gz,Escherichia flexneri,1556,1556,7,2925,2933,7,116,116,11
162,Escherichia coli LF82,GCF_000284495.1,GCF_000284495.1_ASM28449v1_genomic.gbff.gz,Escherichia coli,1554,1556,7,2925,2931,7,116,116,8
642,Escherichia coli O103 str. RM8385,GCF_003112165.1,GCF_003112165.1_ASM311216v1_genomic.gbff.gz,Escherichia flexneri,1553,1554,7,2924,2936,7,116,116,8
668,Escherichia coli O104:H4 str. 2009EL-2050,GCF_000299255.1,GCF_000299255.1_ASM29925v1_genomic.gbff.gz,Escherichia flexneri,1554,1558,7,2926,2940,7,116,116,8
451,Escherichia coli O114:H49,GCF_002741255.1,GCF_002741255.1_ASM274125v1_genomic.gbff.gz,Escherichia flexneri,1556,1556,7,2928,2931,7,116,116,8
157,Escherichia coli O127:H6,GCF_900149875.1,GCF_900149875.1_EPEC1_genomic.gbff.gz,Escherichia coli,1556,1556,7,2925,2925,7,116,116,8
292,Escherichia coli O127:H6,GCF_900149915.1,GCF_900149915.1_EPEC-E2348_69-V2_genomic.gbff.gz,Escherichia coli,1554,1554,7,2925,2925,7,116,116,8
193,Escherichia coli O145:H28 str. RM12761,GCF_000662395.1,GCF_000662395.1_ASM66239v1_genomic.gbff.gz,Escherichia dysenteriae,1556,1556,7,2926,2933,7,116,116,8
250,Escherichia coli O145:H28 str. RM13516,GCF_000520055.1,GCF_000520055.1_ASM52005v1_genomic.gbff.gz,Escherichia dysenteriae,1556,1556,7,2926,2933,7,116,116,8
548,Escherichia coli O157,GCF_001650275.1,GCF_001650275.1_ASM165027v1_genomic.gbff.gz,Escherichia dysenteriae,1552,1554,7,2930,2938,7,116,116,8
66,Escherichia coli O157,GCF_001650295.1,GCF_001650295.1_ASM165029v1_genomic.gbff.gz,Escherichia dysenteriae,1552,1554,7,2930,2938,7,116,116,8
74,Escherichia coli O157,GCF_002208865.2,GCF_002208865.2_ASM220886v2_genomic.gbff.gz,Escherichia dysenteriae,1552,1554,7,2928,2938,7,116,116,8
92,Escherichia coli O157:H7,GCF_001307215.1,GCF_001307215.1_ASM130721v1_genomic.gbff.gz,Escherichia dysenteriae,1554,1556,7,2930,2938,7,116,116,8
