accession;gtdb_taxonomy;lsu_silva_23s_taxonomy;ncbi_organism_name;ncbi_taxonomy;ssu_silva_taxonomy
56791;GCF_000015525.1;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni 81-176-UMCW9;Campylobacter jejuni subsp. jejuni 81-176;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni LMG 23216
27247;GCF_000017905.1;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni 81116;Campylobacter jejuni subsp. jejuni 81116;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
27924;GCF_000025425.1;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni;Campylobacter jejuni subsp. jejuni IA3902;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
117117;GCF_000148705.1;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni M1;Campylobacter jejuni subsp. jejuni M1;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni LMG 23216
80515;GCF_000171795.2;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni CG8421;Campylobacter jejuni subsp. jejuni CG8421;Campylobacter jejuni;Campylobacter jejuni 30318
87594;GCF_000184205.1;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni F38011;Campylobacter jejuni subsp. jejuni S3;Campylobacter jejuni;Campylobacter jejuni 30318
99833;GCF_000302555.5;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni PT14;Campylobacter jejuni subsp. jejuni PT14;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni PT14
29216;GCF_000304375.1;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni NCTC 11168-GSv;Campylobacter jejuni subsp. jejuni NCTC 11168-BN148;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
131634;GCF_000430385.1;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni;Campylobacter jejuni 32488;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
47325;GCF_000466065.2;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni;Campylobacter jejuni subsp. jejuni 00-2538;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
98744;GCF_000466075.2;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni;Campylobacter jejuni subsp. jejuni 00-2544;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
10893;GCF_000466105.2;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni;Campylobacter jejuni subsp. jejuni 00-2426;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
263;GCF_000468915.2;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni;Campylobacter jejuni subsp. jejuni 00-2425;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
77010;GCF_000493495.1;Campylobacter_D jejuni;Campylobacter jejuni 4031;Campylobacter jejuni 4031;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni LMG 9081
97234;GCF_000737085.1;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni;Campylobacter jejuni subsp. jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni LMG 23216
60375;GCF_000772225.1;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni F38011;Campylobacter jejuni subsp. jejuni F38011;Campylobacter jejuni;Campylobacter jejuni 30318
5660;GCF_000830775.1;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni NCTC 11168-GSv;Campylobacter jejuni subsp. jejuni NCTC 11168-K12E5;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
61825;GCF_000830805.1;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni NCTC 11168-GSv;Campylobacter jejuni subsp. jejuni NCTC 11168-Kf1;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
73213;GCF_000830825.1;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni NCTC 11168-GSv;Campylobacter jejuni subsp. jejuni NCTC 11168-mcK12E5;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
106920;GCF_000830845.1;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni NCTC 11168-GSv;Campylobacter jejuni subsp. jejuni NCTC 11168-mfK12E5;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
113478;GCF_000830865.1;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni NCTC 11168-GSv;Campylobacter jejuni subsp. jejuni NCTC 11168-GSv;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
128137;GCF_000835285.1;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni;Campylobacter jejuni subsp. jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
76096;GCF_000835305.1;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni;Campylobacter jejuni subsp. jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
92731;GCF_000835345.1;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni;Campylobacter jejuni subsp. jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
74777;GCF_000835365.1;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni;Campylobacter jejuni subsp. jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
111887;GCF_000934305.1;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni;Campylobacter jejuni subsp. jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
65767;GCF_001299565.1;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni HN-CJD07035;Campylobacter jejuni subsp. jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni LMG 23216
128963;GCF_001299595.1;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni HN-CJD07035;Campylobacter jejuni subsp. jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni LMG 23216
141826;GCF_001314285.1;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni PT14;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
102676;GCF_001412295.1;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni M1;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni M1
34701;GCF_001457695.1;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni ATCC 33560;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
77092;GCF_001506185.1;Campylobacter_D jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
50705;GCF_001506205.1;Campylobacter_D jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
129417;GCF_001506225.1;Campylobacter_D jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
41884;GCF_001506245.1;Campylobacter_D jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
53913;GCF_001506265.1;Campylobacter_D jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
93581;GCF_001506285.1;Campylobacter_D jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
11797;GCF_001506305.1;Campylobacter_D jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
44429;GCF_001506345.1;Campylobacter_D jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
112116;GCF_001506365.1;Campylobacter_D jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
107803;GCF_001506385.1;Campylobacter_D jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
93773;GCF_001506405.1;Campylobacter_D jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
124339;GCF_001506425.1;Campylobacter_D jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
105648;GCF_001506445.1;Campylobacter_D jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
42282;GCF_001506465.1;Campylobacter_D jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
27074;GCF_001506485.1;Campylobacter_D jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
49762;GCF_001506505.1;Campylobacter_D jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
73622;GCF_001506525.1;Campylobacter_D jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
6469;GCF_001506545.1;Campylobacter_D jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
54112;GCF_001506565.1;Campylobacter_D jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
109230;GCF_001506585.1;Campylobacter_D jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
80416;GCF_001506605.1;Campylobacter_D jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
140446;GCF_001506625.1;Campylobacter_D jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
12812;GCF_001506645.1;Campylobacter_D jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
45323;GCF_001506665.1;Campylobacter_D jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
55910;GCF_001506685.1;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni LMG 9872;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
47925;GCF_001506705.1;Campylobacter_D jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
48241;GCF_001506725.1;Campylobacter_D jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
40386;GCF_001506745.1;Campylobacter_D jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
135730;GCF_001506765.1;Campylobacter_D jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
67863;GCF_001506785.1;Campylobacter_D jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
112102;GCF_001506805.1;Campylobacter_D jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
24043;GCF_001506825.1;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni LMG 9872;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
94066;GCF_001506845.1;Campylobacter_D jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
38679;GCF_001506865.1;Campylobacter_D jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
87563;GCF_001506885.1;Campylobacter_D jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
10220;GCF_001506905.1;Campylobacter_D jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
122228;GCF_001506925.1;Campylobacter_D jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
58422;GCF_001506945.1;Campylobacter_D jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
45292;GCF_001506965.1;Campylobacter_D jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
43735;GCF_001506985.1;Campylobacter_D jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
51441;GCF_001507005.1;Campylobacter_D jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
81638;GCF_001507025.1;Campylobacter_D jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
109614;GCF_001507045.1;Campylobacter_D jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
136497;GCF_001507065.1;Campylobacter_D jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
20178;GCF_001507085.1;Campylobacter_D jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
46477;GCF_001507105.1;Campylobacter_D jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
127452;GCF_001507125.1;Campylobacter_D jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
38242;GCF_001507145.1;Campylobacter_D jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
12360;GCF_001507165.1;Campylobacter_D jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
108058;GCF_001507185.1;Campylobacter_D jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
20849;GCF_001507205.1;Campylobacter_D jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
54394;GCF_001507225.1;Campylobacter_D jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
106907;GCF_001507245.1;Campylobacter_D jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
30054;GCF_001507265.1;Campylobacter_D jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
126969;GCF_001563565.1;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni 30318
140956;GCF_001587015.1;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni CG8421;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
78560;GCF_001587035.1;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni PT14;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
32062;GCF_001686905.1;Campylobacter_D jejuni;Campylobacter jejuni BJ-CJD101;Campylobacter jejuni subsp. jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni LMG 23216
8626;GCF_001717625.1;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni F38011;Campylobacter jejuni subsp. jejuni;Campylobacter jejuni;Campylobacter jejuni 30318
41055;GCF_001721945.1;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni PT14;Campylobacter jejuni subsp. jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
92904;GCF_001721965.1;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni;Campylobacter jejuni subsp. jejuni;Campylobacter jejuni;Campylobacter jejuni 30318
24955;GCF_001721985.1;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni;Campylobacter jejuni subsp. jejuni;Campylobacter jejuni;Campylobacter jejuni 30318
137291;GCF_001767215.1;Campylobacter_D jejuni;Campylobacter jejuni BJ-CJD101;Campylobacter jejuni subsp. jejuni str. RM3420;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni LMG 23216
19941;GCF_001865395.1;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni LMG 9081;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni LMG 9081
28849;GCF_001865415.1;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni 51037;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni 30318
97850;GCF_001865435.1;Campylobacter_D jejuni;Campylobacter jejuni Cj5;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni 30318
96656;GCF_001865595.1;Campylobacter_D jejuni;Campylobacter jejuni Cj5;Campylobacter jejuni subsp. jejuni M129;Campylobacter jejuni;Campylobacter jejuni 30318
29091;GCF_001870085.1;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni 51037;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni 30318
114704;GCF_001870105.1;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni 51037;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni 30318
99977;GCF_001951235.1;Campylobacter_D jejuni;Campylobacter jejuni Cj5;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni 30318
63853;GCF_001951255.1;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni 81116;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni LMG 9081
84216;GCF_001951275.1;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni 81116;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni LMG 9081
34145;GCF_001951295.1;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni 04197;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
37806;GCF_001951315.1;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni 04197;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
72468;GCF_001951335.1;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni 04197;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
92857;GCF_002024325.1;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
75510;GCF_002028305.1;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni;Campylobacter jejuni subsp. jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
18375;GCF_002101355.1;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni F38011;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
44405;GCF_002209005.1;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni ATCC 33560;Campylobacter jejuni subsp. jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
130580;GCF_002209025.1;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni NCTC 11168-GSv;Campylobacter jejuni subsp. jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
20439;GCF_002209045.1;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni;Campylobacter jejuni subsp. jejuni;Campylobacter jejuni;Campylobacter jejuni 30318
124729;GCF_002209065.1;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni 327;Campylobacter jejuni subsp. jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni 81116
119396;GCF_002214785.1;Campylobacter_D jejuni;Campylobacter jejuni BJ-CJD101;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni LMG 23216
116224;GCF_002224325.1;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni NCTC 11168-GSv;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
99615;GCF_002224385.1;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni 81-176-UMCW9;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni LMG 23216
78903;GCF_002234455.1;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni 81116;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
19191;GCF_002238375.1;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni NCTC 11168-GSv;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
79831;GCF_002407125.1;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni 30318
69232;GCF_002587105.1;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni F38011;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
64946;GCF_002587225.1;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni F38011;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni 30318
66756;GCF_003030185.1;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni 51037;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni 30318
43292;GCF_003060725.1;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni 04197;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
69707;GCF_003060745.1;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni 04197;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
28001;GCF_003060765.1;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
125063;GCF_003060785.1;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni PT14;Campylobacter jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
86881;GCF_900475265.1;Campylobacter_D jejuni;Campylobacter jejuni subsp. jejuni NCTC 11168-GSv;Campylobacter jejuni subsp. jejuni;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni
